Configuration,Term,J,g,Level (cm-1),Uncertainty (cm-1),Leading percentages,Reference
1s,2S,1/2,2,0.000000000,0.000000005, 100                    ,L15291
2p,2P*,1/2,2,82281.3010273,0.0000020, 100                    ,L15291
2p,2P*,3/2,4,82281.667009,0.000010, 100                    ,L15291
2s,2S,1/2,2,82281.336361094,0.000000005, 100                    ,L15291
2,,,8,82281.493,0.001, 100                    ,L15291
3p,2P*,1/2,2,97518.738088,0.000010, 100                    ,L15291
3p,2P*,3/2,4,97518.846525,0.000010, 100                    ,L15291
3s,2S,1/2,2,97518.748607,0.000017, 100                    ,L15291
3,,,18,97518.836,0.001, 100                    ,L15291
3d,2D,3/2,4,97518.84627,0.00006, 100                    ,L15291
3d,2D,5/2,6,97518.88241,0.00005, 100                    ,L15291
4p,2P*,1/2,2,102851.826163,0.000006, 100                    ,L15291
4p,2P*,3/2,4,102851.871920,0.000005, 100                    ,L15291
4s,2S,1/2,2,102851.8306186,0.0000007, 100                    ,L15291
4d,2D,3/2,4,102851.871846,0.000008, 100                    ,L15291
4d,2D,5/2,6,102851.8870958,0.0000013, 100                    ,L15291
4,,,32,102851.878,0.001, 100                    ,L15291
4f,2F*,5/2,6,102851.88706860,0.00000006, 100                    ,L15291
4f,2F*,7/2,8,102851.89469315,0.00000006, 100                    ,L15291
5p,2P*,1/2,2,105320.27762,0.00020, 100                    ,L15291
5p,2P*,3/2,4,105320.30105,0.00020, 100                    ,L15291
5s,2S,1/2,2,105320.27991,0.00020, 100                    ,L15291
5d,2D,3/2,4,105320.30125,0.00008, 100                    ,L15291
5d,2D,5/2,6,105320.30906,0.00008, 100                    ,L15291
5,,,50,105320.308,0.001, 100                    ,L15291
5f,2F*,5/2,6,105320.30891596,0.00000007, 100                    ,L15291
5f,2F*,7/2,8,105320.31281973,0.00000007, 100                    ,L15291
5g,2G,7/2,8,105320.31281242,0.00000007, 100                    ,L15291
5g,2G,9/2,10,105320.31515469,0.00000007, 100                    ,L15291
6p,2P*,1/2,2,106661.16228,0.00020, 100                    ,L15291
6p,2P*,3/2,4,106661.17584,0.00020, 100                    ,L15291
6s,2S,1/2,2,106661.16360,0.00020, 100                    ,L15291
6d,2D,3/2,4,106661.17594,0.00008, 100                    ,L15291
6d,2D,5/2,6,106661.18046,0.00008, 100                    ,L15291
6f,2F*,5/2,6,106661.18039908,0.00000008, 100                    ,L15291
6f,2F*,7/2,8,106661.18265821,0.00000008, 100                    ,L15291
6,,,72,106661.1812,0.0001, 100                    ,L15291
6g,2G,7/2,8,106661.18265396,0.00000008, 100                    ,L15291
6g,2G,9/2,10,106661.18400944,0.00000008, 100                    ,L15291
6h,2H*,9/2,10,106661.18400680,0.00000008, 100                    ,L15291
6h,2H*,11/2,12,106661.18491047,0.00000008, 100                    ,L15291
7p,2P*,1/2,2,107469.67224,0.00020, 100                    ,L15291
7p,2P*,3/2,4,107469.68077,0.00020, 100                    ,L15291
7s,2S,1/2,2,107469.67307,0.00020, 100                    ,L15291
7d,2D,3/2,4,107469.68079,0.00008, 100                    ,L15291
7d,2D,5/2,6,107469.68364,0.00008, 100                    ,L15291
7,,,98,107469.6848,0.0001, 100                    ,L15291
8p,2P*,1/2,2,107994.4256640,0.0000010, 100                    ,L15291
8p,2P*,3/2,4,107994.4313836,0.0000013, 100                    ,L15291
8s,2S,1/2,2,107994.42622296,0.00000023, 100                    ,L15291
8d,2D,3/2,4,107994.43137506,0.00000020, 100                    ,L15291
8d,2D,5/2,6,107994.43328127,0.00000020, 100                    ,L15291
8,,,128,107994.4344,0.0001, 100                    ,L15291
9p,2P*,1/2,2,108354.19456,0.00020, 100                    ,L15291
9p,2P*,3/2,4,108354.19858,0.00020, 100                    ,L15291
9s,2S,1/2,2,108354.19495,0.00020, 100                    ,L15291
9d,2D,3/2,4,108354.19854,0.00008, 100                    ,L15291
9d,2D,5/2,6,108354.19987,0.00008, 100                    ,L15291
9,,,162,108354.2009,0.0001, 100                    ,L15291
10p,2P*,1/2,2,108611.53490,0.00020, 100                    ,L15291
10p,2P*,3/2,4,108611.53783,0.00020, 100                    ,L15291
10s,2S,1/2,2,108611.53518,0.00020, 100                    ,L15291
10d,2D,3/2,4,108611.5378026,0.0000013, 100                    ,L15291
10d,2D,5/2,6,108611.5387786,0.0000013, 100                    ,L15291
10,,,200,108611.5396,0.0001, 100                    ,L15291
11p,2P*,1/2,2,108801.93752,0.00020, 100                    ,L15291
11p,2P*,3/2,4,108801.93972,0.00020, 100                    ,L15291
11s,2S,1/2,2,108801.93774,0.00020, 100                    ,L15291
11d,2D,3/2,4,108801.93971,0.00008, 100                    ,L15291
11d,2D,5/2,6,108801.94044,0.00008, 100                    ,L15291
11,,,242,108801.9411,0.0001, 100                    ,L15291
12p,2P*,1/2,2,108946.75429,0.00020, 100                    ,L15291
12p,2P*,3/2,4,108946.75599,0.00020, 100                    ,L15291
12s,2S,1/2,2,108946.75446,0.00020, 100                    ,L15291
12d,2D,3/2,4,108946.75594,0.00000, 100                    ,L15291
12d,2D,5/2,6,108946.75650876,0.00000023, 100                    ,L15291
12,,,288,108946.7571,0.0001, 100                    ,L15291
