Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(5D).4s,a 6D,9/2,,0.0000,,0.0000,,1.58, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,7/2,,384.7872,,0.0003,384.7872,1.58, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,5/2,,667.6829,,0.0003,282.8957,1.655, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,3/2,,862.6118,,0.0004,194.9289,1.862, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,1/2,,977.0498,,0.0004,114.4380,3.31, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,9/2,,1872.5998,,0.0006,895.5500,1.33, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,7/2,,2430.1369,,0.0006,557.5371,1.223, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,5/2,,2837.9807,,0.0007,407.8438,1.02, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,3/2,,3117.4877,,0.0008,279.507,0.385, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,7/2,,7955.3186,,0.0007,4837.831,1.419,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,5/2,,8391.9554,,0.0007,436.6368,1.365,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,3/2,,8680.4706,,0.0007,288.5152,1.200,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,1/2,,8846.7837,,0.0008,166.313,-0.05,  99                                                                         ,"L18349,L18361c138"
3d7,a 4P,5/2,,13474.4474,,0.0009,4627.664,1.609,  98                                                                         ,"L18349,L18361c138"
3d7,a 4P,3/2,,13673.2045,,0.0010,198.757,1.737,  96                                  :     2  3d7                     2P    ,"L18349,L18361c138"
3d7,a 4P,1/2,,13904.8604,,0.0012,231.656,2.67,  98                                                                         ,"L18349,L18361c138"
3d7,a 2G,9/2,,15844.6485,,0.0012,1939.788,,  98                                                                         ,"L18349,L18361c138"
3d7,a 2G,7/2,,16369.4098,,0.0013,524.761,, 100                                                                         ,"L18349,L18361c138"
3d7,a 2P,3/2,,18360.6399,,0.0016,1991.230,1.28,  90                                  :     6  3d7                     2D2   ,"L18349,L18361c138"
3d7,a 2P,1/2,,18886.773,,0.002,526.133,,  98                                                                         ,"L18349,L18361c138"
3d7,a 2H,11/2,,20340.2461,,0.0013,1453.473,,  99                                                                         ,"L18349,L18361c138"
3d7,a 2D2,5/2,,20516.9534,,0.0016,176.707,1.22,  74                                  :    23  3d7                     2D1   ,"L18349,L18361c138"
3d7,a 2H,9/2,,20805.7632,,0.0014,288.810,0.92,  98                                                                         ,"L18349,L18361c138"
3d6.(3P2).4s,b 4P,5/2,,20830.5534,,0.0011,24.790,1.583,  60                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,13/2,,21251.5833,,0.0011,421.030,1.20, 100                                                                         ,"L18349,L18361c138"
3d7,a 2D2,3/2,,21307.999,,0.002,56.416,,  72                                  :    20  3d7                     2D1   ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,11/2,,21430.3564,,0.0010,122.357,1.119,  99                                                                         ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,9/2,,21581.6151,,0.0011,151.259,0.951,  98                                                                         ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,7/2,,21711.8963,,0.0011,130.281,0.661,  98                                                                         ,"L18349,L18361c138"
3d6.(3P2).4s,b 4P,3/2,,21812.0454,,0.0012,100.149,1.720,  60                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138"
3d6.(3P2).4s,b 4P,1/2,,22409.8178,,0.0013,597.772,2.68,  61                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138"
3d6.(3F2).4s,b 4F,9/2,,22637.1950,,0.0011,227.377,1.307,  76                                  :    21  3d6.(3F1).4s            4F    ,"L18349,L18361c138"
