Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Leading percentages,Reference
3d10.4s,2S,1/2,,0.00,,0,,                                                ,L9171
3d10.4p,2P*,1/2,,48481.00,,,48481.00,                                                ,
3d10.4p,2P*,3/2,,49355.04,,,874.0,                                                ,
3d9.4s2,2D,5/2,,62722.45,,,13367.4,                                                ,
3d9.4s2,2D,3/2,,65441.64,,,2719.2,                                                ,
3d10.5s,2S,1/2,,88437.15,,,22995.5,                                                ,
3d10.4d,2D,3/2,,96909.74,,,8472.6,                                                ,
3d10.4d,2D,5/2,,96960.40,,,50.7,                                                ,
3d10.5p,2P*,1/2,,101365.9,,,4406,                                                ,
3d10.5p,2P*,3/2,,101611.4,,,246,                                                ,
3d9.(2D).4s.4p.(3P*),4P*,5/2,,103701.6,,,2090,  98                                            ,
3d9.(2D).4s.4p.(3P*),4P*,3/2,,105322.7,,,1621,  96                                            ,
3d9.(2D).4s.4p.(3P*),4P*,1/2,,106528.8,,,1206,  98                                            ,
3d9.(2D).4s.4p.(3P*),4F*,9/2,,106779.9,,,251, 100                                            ,
3d9.(2D).4s.4p.(3P*),4F*,7/2,,106852.4,,,72,  89         :     8  3d9.(2D).4s.4p.(3P*) 2F*  ,
3d9.(2D).4s.4p.(3P*),4F*,5/2,,107268.6,,,416,  82         :    16  3d9.(2D).4s.4p.(3P*) 2F*  ,
3d9.(2D).4s.4p.(3P*),4F*,3/2,,108227.9,,,959,  97                                            ,
3d9.(2D).4s.4p.(3P*),2F*,5/2,,110672.3,,,2444,  73         :    16  3d9.(2D).4s.4p.(3P*) 4D*  ,
3d9.(2D).4s.4p.(3P*),4D*,7/2,,110867.2,,,195,  84         :    16  3d9.(2D).4s.4p.(3P*) 2F*  ,
3d9.(2D).4s.4p.(3P*),4D*,5/2,,111743.0,,,876,  63         :    15  3d9.(2D).4s.4p.(3P*) 2D*  ,
3d9.(2D).4s.4p.(3P*),4D*,3/2,,111994.3,,,251,  59         :    32  3d9.(2D).4s.4p.(3P*) 2D*  ,
3d9.(2D).4s.4p.(3P*),2F*,7/2,,112409.7,,,415,  75         :    13  3d9.(2D).4s.4p.(3P*) 4D*  ,
3d9.(2D).4s.4p.(3P*),4D*,1/2,,112534.9,,,125,  53         :    44  3d9.(2D).4s.4p.(3P*) 2P*  ,
3d9.(2D).4s.4p.(3P*),2P*,1/2,,113492.9,,,958,  54         :    46  3d9.(2D).4s.4p.(3P*) 4D*  ,
3d9.(2D).4s.4p.(3P*),2P*,3/2,,113499.2,,,6,  93                                            ,
