obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,,91.78795559,0.00000019,,,0.000000000,[108946.75599],1s,2S,1/2,12p,2P*,3/2,,,,
,,91.7879547,0.0000004,5.0672e+04,AA,0.000000000,[108946.7571],1s,2S,1/2,12,,,,T8637,,
91.78795688,0.00000017,91.78795687,0.00000017,,,0.000000000,[108946.75446],1s,2S,1/2,12s,2S,1/2,M1,,L15291c36,
,,91.78795702,0.00000017,,,0.000000000,[108946.75429],1s,2S,1/2,12p,2P*,1/2,,,,
91.91012549,0.00000006,91.91012550,0.00000007,,,0.000000000,[108801.94044],1s,2S,1/2,11d,2D,5/2,E2,,,
,,91.91012610,0.00000019,,,0.000000000,[108801.93972],1s,2S,1/2,11p,2P*,3/2,,,,
,,91.9101249,0.0000005,7.8361e+04,AA,0.000000000,[108801.9411],1s,2S,1/2,11,,,,T8637,,
91.91012778,0.00000017,91.91012778,0.00000017,,,0.000000000,[108801.93774],1s,2S,1/2,11s,2S,1/2,M1,,L15291c36,
,,91.91012796,0.00000019,,,0.000000000,[108801.93752],1s,2S,1/2,11p,2P*,1/2,,,,
,,92.07124952,0.00000019,,,0.000000000,[108611.53783],1s,2S,1/2,10p,2P*,3/2,,,,
,,92.0712480,0.0000007,1.2635e+05,AA,0.000000000,[108611.5396],1s,2S,1/2,10,,,,T8637,,
92.07125176,0.00000017,92.07125176,0.00000017,,,0.000000000,[108611.53518],1s,2S,1/2,10s,2S,1/2,M1,,L15291c36,
,,92.07125200,0.00000019,,,0.000000000,[108611.53490],1s,2S,1/2,10p,2P*,1/2,,,,
92.28991596,0.00000007,92.28991596,0.00000007,,,0.000000000,[108354.19987],1s,2S,1/2,9d,2D,5/2,E2,,,
,,92.28991706,0.00000020,,,0.000000000,[108354.19858],1s,2S,1/2,9p,2P*,3/2,,,,
