# Generated by: provenance.py
# Date: 2025-08-14 11:06:05
# Target: Cu_I_levels.csv
Ion,Configuration,Term,J,Parity,g,Level_cm1,Level_eV,energy_source,energy_sigma_eV,orig_row,is_centroid_like,is_limit,config_contains_species_label,incomplete,n,n_inferred,n_source,Level_ID,dE_prev_eV,dE_next_eV,dE_min_eV,is_duplicate_energy,dense_zone,energy_band_id,series_id_ls,series_confidence_ls,series_id_outer,series_confidence_outer
Cu_I,3d10.4s,2S,1/2,,2.0,0.0,0.0,Level_cm1,0.0,0,False,False,False,False,2.0,True,term,0,,1.3889476127114113,1.3889476127114113,False,False,0,2S,high,4s,high
Cu_I,3d9.4s2,2D,5/2,,6.0,11202.618,1.3889476127114113,Level_cm1,2.7276523648e-06,2,False,False,False,False,2.0,True,term,1,1.3889476127114113,0.25327802009647993,0.25327802009647993,False,False,1,2D,high,4s,high
Cu_I,3d9.4s2,2D,3/2,,4.0,13245.443,1.6422256328078912,Level_cm1,2.3556997696e-06,3,False,False,False,False,2.0,True,term,2,0.25327802009647993,2.143672036216391,0.25327802009647993,False,False,2,2D,high,4s,high
Cu_I,3d10.4p,2P*,1/2,,2.0,30535.324,3.785897669024282,Level_cm1,2.3556997696e-06,5,False,False,False,False,2.0,True,term,3,2.143672036216391,0.030794327309203062,0.030794327309203062,False,False,3,2P*,high,4p,high
Cu_I,3d10.4p,2P*,3/2,,4.0,30783.697,3.816691996333485,Level_cm1,2.2317155712e-06,6,False,False,False,False,2.0,True,term,4,0.030794327309203062,1.0210090059346117,0.030794327309203062,False,False,3,2P*,high,4p,high
Cu_I,3d9.(2D).4s.4p.(3P*),4P*,5/2,,6.0,39018.69,4.837701002268097,Level_cm1,3.7195259520000003e-06,8,False,False,False,False,4.0,True,term,5,1.0210090059346117,0.13580237219148827,0.13580237219148827,False,False,4,4P*,high,3p,high
Cu_I,3d9.(2D).4s.4p.(3P*),4P*,3/2,,4.0,40114.01,4.973503374459585,Level_cm1,3.7195259520000003e-06,9,False,False,False,False,4.0,True,term,6,0.13580237219148827,0.09858603535775945,0.09858603535775945,False,False,5,4P*,high,3p,high
Cu_I,3d9.(2D).4s.4p.(3P*),4F*,9/2,,10.0,40909.16,5.072089409817345,Level_cm1,6.199209920000001e-06,12,False,False,False,False,4.0,True,term,7,0.09858603535775945,0.004292332948607758,0.004292332948607758,False,False,6,4F*,high,3p,high
Cu_I,3d9.(2D).4s.4p.(3P*),4P*,1/2,,2.0,40943.78,5.076381742765952,Level_cm1,3.7195259520000003e-06,10,False,False,False,False,4.0,True,term,8,0.004292332948607758,0.025998246562496163,0.004292332948607758,False,False,6,4P*,high,3p,high
Cu_I,3d9.(2D).4s.4p.(3P*),4F*,7/2,,8.0,41153.47,5.1023799893284485,Level_cm1,3.7195259520000003e-06,13,False,False,False,False,4.0,True,term,9,0.025998246562496163,0.05076656987686423,0.025998246562496163,False,False,6,4F*,high,3p,high
