# Generated by: provenance.py
# Date: 2025-08-21 19:49:59
# Target: D_I_levels.csv
Ion,Configuration,Term,J,Parity,g,Level_cm1,Level_eV,energy_source,energy_sigma_eV,orig_row,is_centroid_like,is_limit,config_contains_species_label,incomplete,n,n_inferred,n_source,Level_ID,dE_prev_eV,dE_next_eV,dE_min_eV,is_duplicate_energy,dense_zone,energy_band_id,series_id_ls,series_confidence_ls,series_id_outer,series_confidence_outer
D_I,1s,2S,1/2,,2,0.0,0.0,Level_cm1,6.199209920000001e-13,0,False,False,False,False,2.0,True,term,0,,10.201581151178887,10.201581151178887,False,False,0,2S,high,1s,high
D_I,2p,2P*,1/2,,2,82281.3010273,10.201581151178887,Level_cm1,2.4796839680000003e-10,1,False,False,False,False,2.0,True,term,1,10.201581151178887,4.380832125505663e-06,4.380832125505663e-06,False,False,1,2P*,high,2p,high
D_I,2s,2S,1/2,,2,82281.336361094,10.201585532011013,Level_cm1,6.199209920000001e-13,3,False,False,False,False,2.0,True,term,2,4.380832125505663e-06,1.9420749199028364e-05,4.380832125505663e-06,False,False,1,2S,high,2s,high
D_I,2,,,,8,82281.493,10.201604952760212,Level_cm1,1.2398419840000002e-07,4,True,False,False,True,2.0,True,config,3,1.9420749199028364e-05,2.1574366378729337e-05,1.9420749199028364e-05,False,False,2,nan,high,,low
D_I,2p,2P*,3/2,,4,82281.667009,10.20162652712659,Level_cm1,1.2398419840000002e-09,2,False,False,False,False,2.0,True,term,4,2.1574366378729337e-05,1.8891560436936388,2.1574366378729337e-05,False,False,3,2P*,high,2p,high
D_I,3p,2P*,1/2,,2,97518.738088,12.09078257082023,Level_cm1,1.2398419840000002e-09,5,False,False,False,False,2.0,True,term,5,1.8891560436936388,1.3041897837240413e-06,1.3041897837240413e-06,False,False,4,2P*,high,3p,high
D_I,3s,2S,1/2,,2,97518.748607,12.090783875010013,Level_cm1,2.1077313728000004e-09,7,False,False,False,False,2.0,True,term,6,1.3041897837240413e-06,1.0835351050175746e-05,1.3041897837240413e-06,False,False,4,2S,high,3s,high
D_I,3,,,,18,97518.836,12.090794710361063,Level_cm1,1.2398419840000002e-07,8,True,False,False,True,3.0,True,config,7,1.0835351050175746e-05,1.273317717931377e-06,1.273317717931377e-06,False,False,5,nan,high,,low
D_I,3d,2D,3/2,,4,97518.84627,12.090795983678781,Level_cm1,7.439051904000001e-09,9,False,False,False,False,2.0,True,term,8,1.273317717931377e-06,3.161597028622509e-08,3.161597028622509e-08,False,False,5,2D,high,3d,high
D_I,3p,2P*,3/2,,4,97518.846525,12.090796015294751,Level_cm1,1.2398419840000002e-09,6,False,False,False,False,2.0,True,term,9,3.161597028622509e-08,4.4491729607187835e-06,3.161597028622509e-08,False,False,5,2P*,high,3p,high
D_I,3d,2D,5/2,,6,97518.88241,12.090800464467712,Level_cm1,6.199209920000001e-09,10,False,False,False,False,2.0,True,term,10,4.4491729607187835e-06,0.6612007563279931,4.4491729607187835e-06,False,False,5,2D,high,3d,high
D_I,4p,2P*,1/2,,2,102851.826163,12.752001220795705,Level_cm1,7.439051904000001e-10,11,False,False,False,False,2.0,True,term,11,0.6612007563279931,5.524239927723329e-07,5.524239927723329e-07,False,False,6,2P*,high,4p,high
D_I,4s,2S,1/2,,2,102851.8306186,12.752001773219698,Level_cm1,8.678893888000001e-11,13,False,False,False,False,2.0,True,term,12,5.524239927723329e-07,5.111546141023382e-06,5.524239927723329e-07,False,False,6,2S,high,4s,high
D_I,4d,2D,3/2,,4,102851.871846,12.752006884765839,Level_cm1,9.918735872000001e-10,14,False,False,False,False,2.0,True,term,13,5.111546141023382e-06,9.174831561153951e-09,9.174831561153951e-09,False,False,6,2D,high,4d,high
D_I,4p,2P*,3/2,,4,102851.87192,12.75200689394067,Level_cm1,6.199209920000001e-10,12,False,False,False,False,2.0,True,term,14,9.174831561153951e-09,7.538239259474722e-07,9.174831561153951e-09,False,False,6,2P*,high,4p,high
D_I,4,,,,32,102851.878,12.752007647764596,Level_cm1,1.2398419840000002e-07,16,True,False,False,True,4.0,True,config,15,7.538239259474722e-07,1.1243631021784495e-06,7.538239259474722e-07,False,False,6,nan,high,,low
D_I,4f,2F*,5/2,,6,102851.8870686,12.752008772127699,Level_cm1,7.439051904000001e-12,17,False,False,False,False,2.0,True,term,16,1.1243631021784495e-06,3.37237082703723e-09,3.37237082703723e-09,False,False,6,2F*,high,4f,high
D_I,4d,2D,5/2,,6,102851.8870958,12.75200877550007,Level_cm1,1.6117945792000002e-10,15,False,False,False,False,2.0,True,term,17,3.37237082703723e-09,9.419513471442542e-07,3.37237082703723e-09,False,False,6,2D,high,4d,high
D_I,4f,2F*,7/2,,8,102851.89469315,12.752009717451417,Level_cm1,7.439051904000001e-12,18,False,False,False,False,2.0,True,term,18,9.419513471442542e-07,0.30604047852974325,9.419513471442542e-07,False,False,6,2F*,high,4f,high
D_I,5p,2P*,1/2,,2,105320.27762,13.05805019598116,Level_cm1,2.4796839680000004e-08,19,False,False,False,False,2.0,True,term,19,0.30604047852974325,2.8392381601349825e-07,2.8392381601349825e-07,False,False,7,2P*,high,5p,high
D_I,5s,2S,1/2,,2,105320.27991,13.058050479904976,Level_cm1,2.4796839680000004e-08,21,False,False,False,False,2.0,True,term,20,2.8392381601349825e-07,2.6210259527204016e-06,2.8392381601349825e-07,False,False,7,2S,high,5s,high
D_I,5p,2P*,3/2,,4,105320.30105,13.058053100930929,Level_cm1,2.4796839680000004e-08,20,False,False,False,False,2.0,True,term,21,2.6210259527204016e-06,2.4796841913143908e-08,2.4796841913143908e-08,False,False,7,2P*,high,5p,high
D_I,5d,2D,3/2,,4,105320.30125,13.05805312572777,Level_cm1,9.918735872000002e-09,22,False,False,False,False,2.0,True,term,22,2.4796841913143908e-08,8.36893338629352e-07,2.4796841913143908e-08,True,False,7,2D,high,5d,high
D_I,5,,,,50,105320.308,13.05805396262111,Level_cm1,1.2398419840000002e-07,24,True,False,False,True,5.0,True,config,23,8.36893338629352e-07,1.1356456575128959e-07,1.1356456575128959e-07,False,False,7,nan,high,,low
D_I,5f,2F*,5/2,,6,105320.30891596,13.058054076185675,Level_cm1,8.678893888000001e-12,25,False,False,False,False,2.0,True,term,24,1.1356456575128959e-07,1.785868342096819e-08,1.785868342096819e-08,True,False,7,2F*,high,5f,high
D_I,5d,2D,5/2,,6,105320.30906,13.058054094044358,Level_cm1,9.918735872000002e-09,23,False,False,False,False,2.0,True,term,25,1.785868342096819e-08,4.652407863403596e-07,1.785868342096819e-08,False,False,7,2D,high,5d,high
