# Generated by: provenance.py
# Date: 2025-08-14 11:06:06
# Target: Fe_II_levels.csv
Ion,Configuration,Term,J,Parity,g,Level_cm1,Level_eV,energy_source,energy_sigma_eV,orig_row,is_centroid_like,is_limit,config_contains_species_label,incomplete,n,n_inferred,n_source,Level_ID,dE_prev_eV,dE_next_eV,dE_min_eV,is_duplicate_energy,dense_zone,energy_band_id,series_id_ls,series_confidence_ls,series_id_outer,series_confidence_outer
Fe_II,3d6.(5D).4s,a 6D,9/2,,,0.0,0.0,Level_cm1,0.0,0,False,False,False,False,3.0,True,config,0,,0.047707532546580486,0.047707532546580486,False,False,0,a 6D,high,4s,high
Fe_II,3d6.(5D).4s,a 6D,7/2,,,384.7872,0.047707532546580486,Level_cm1,3.719525952e-08,1,False,False,False,False,3.0,True,config,1,0.047707532546580486,0.03507459659530689,0.03507459659530689,False,False,0,a 6D,high,4s,high
Fe_II,3d6.(5D).4s,a 6D,5/2,,,667.6829,0.08278212914188737,Level_cm1,3.719525952e-08,2,False,False,False,False,3.0,True,config,2,0.03507459659530689,0.024168103411493766,0.024168103411493766,False,False,0,a 6D,high,4s,high
Fe_II,3d6.(5D).4s,a 6D,3/2,,,862.6118,0.10695023255338114,Level_cm1,4.959367936000001e-08,3,False,False,False,False,3.0,True,config,3,0.024168103411493766,0.014188503696499197,0.014188503696499197,False,False,0,a 6D,high,4s,high
Fe_II,3d6.(5D).4s,a 6D,1/2,,,977.0498,0.12113873624988034,Level_cm1,4.959367936000001e-08,4,False,False,False,False,3.0,True,config,4,0.014188503696499197,0.11103404887712001,0.014188503696499197,False,False,0,a 6D,high,4s,high
Fe_II,3d7,a 4F,9/2,,,1872.5998,0.23217278512700035,Level_cm1,7.439051904e-08,5,False,False,False,False,3.0,True,config,5,0.11103404887712001,0.06912579042176065,0.06912579042176065,False,False,1,a 4F,high,3d,high
Fe_II,3d7,a 4F,7/2,,,2430.1369,0.301298575548761,Level_cm1,7.439051904e-08,6,False,False,False,False,3.0,True,config,6,0.06912579042176065,0.0505661866154099,0.0505661866154099,False,False,2,a 4F,high,3d,high
Fe_II,3d7,a 4F,5/2,,,2837.9807,0.3518647621641709,Level_cm1,8.678893888000001e-08,7,False,False,False,False,3.0,True,config,7,0.0505661866154099,0.03465445134218886,0.03465445134218886,False,False,2,a 4F,high,3d,high
Fe_II,3d7,a 4F,3/2,,,3117.4877,0.38651921350635976,Level_cm1,9.918735872000002e-08,8,False,False,False,False,3.0,True,config,8,0.03465445134218886,0.5998145861312505,0.03465445134218886,False,False,2,a 4F,high,3d,high
Fe_II,3d6.(5D).4s,a 4D,7/2,,,7955.3186,0.9863337996376103,Level_cm1,8.678893888000001e-08,9,False,False,False,False,3.0,True,config,9,0.5998145861312505,0.05413606363994128,0.05413606363994128,False,False,3,a 4D,high,4s,high
Fe_II,3d6.(5D).4s,a 4D,5/2,,,8391.9554,1.0404698632775515,Level_cm1,8.678893888000001e-08,10,False,False,False,False,3.0,True,config,10,0.05413606363994128,0.035771325798215736,0.035771325798215736,False,False,3,a 4D,high,4s,high
Fe_II,3d6.(5D).4s,a 4D,3/2,,,8680.4706,1.0762411890757673,Level_cm1,8.678893888000001e-08,11,False,False,False,False,3.0,True,config,11,0.035771325798215736,0.02062019638691881,0.02062019638691881,False,False,3,a 4D,high,4s,high
Fe_II,3d6.(5D).4s,a 4D,1/2,,,8846.7837,1.096861385462686,Level_cm1,9.918735872000002e-08,12,False,False,False,False,3.0,True,config,12,0.02062019638691881,0.5737571743092782,0.02062019638691881,False,False,3,a 4D,high,4s,high
Fe_II,3d7,a 4P,5/2,,,13474.4474,1.6706185597719643,Level_cm1,1.1158577856000001e-07,13,False,False,False,False,3.0,True,config,13,0.5737571743092782,0.02464273971980857,0.02464273971980857,False,False,4,a 4P,high,3d,high
Fe_II,3d7,a 4P,3/2,,,13673.2045,1.6952612994917728,Level_cm1,1.2398419840000002e-07,14,False,False,False,False,3.0,True,config,14,0.02464273971980857,0.02872167106613066,0.02464273971980857,False,False,4,a 4P,high,3d,high
Fe_II,3d7,a 4P,1/2,,,13904.8604,1.7239829705579035,Level_cm1,1.4878103808e-07,15,False,False,False,False,3.0,True,config,15,0.02872167106613066,0.2405030726443591,0.02872167106613066,False,False,4,a 4P,high,3d,high
