# Generated by: provenance.py
# Date: 2025-08-14 11:06:06
# Target: H_I_levels.csv
Ion,Configuration,Term,J,Parity,g,Level_cm1,Level_eV,energy_source,energy_sigma_eV,orig_row,is_centroid_like,is_limit,config_contains_species_label,incomplete,n,n_inferred,n_source,Level_ID,dE_prev_eV,dE_next_eV,dE_min_eV,is_duplicate_energy,dense_zone,energy_band_id,series_id_ls,series_confidence_ls,series_id_outer,series_confidence_outer
H_I,1s,2S,1/2,,,0.0,0.0,Level_cm1,1.2398419840000002e-13,0,False,False,False,False,2.0,True,term,0,,10.19880614751294,10.19880614751294,False,False,0,2S,high,1s,high
H_I,2p,2P*,1/2,,,82258.9191133,10.19880614751294,Level_cm1,3.7195259520000004e-11,1,False,False,False,False,2.0,True,term,1,10.19880614751294,4.3749042060170495e-06,4.3749042060170495e-06,False,False,1,2P*,high,2p,high
H_I,2s,2S,1/2,,,82258.9543992821,10.198810522417146,Level_cm1,1.2398419840000002e-13,2,False,False,False,False,2.0,True,term,2,4.3749042060170495e-06,2.5243271801755895e-05,4.3749042060170495e-06,False,False,1,2S,high,2s,high
H_I,2,,,,,82259.158,10.198835765688948,Level_cm1,1.2398419840000002e-06,3,True,False,False,True,2.0,True,config,3,2.5243271801755895e-05,1.5746166775798542e-05,1.5746166775798542e-05,False,False,1,nan,high,,low
H_I,2p,2P*,3/2,,,82259.2850014,10.198851511855723,Level_cm1,4.9593679360000006e-11,4,False,False,False,False,2.0,True,term,4,1.5746166775798542e-05,1.88864214401978,1.5746166775798542e-05,False,False,1,2P*,high,2p,high
H_I,3p,2P*,1/2,,,97492.2112,12.087493655875504,Level_cm1,8.678893888e-10,5,False,False,False,False,2.0,True,term,5,1.88864214401978,1.301958066690645e-06,1.301958066690645e-06,False,False,2,2P*,high,3p,high
H_I,3s,2S,1/2,,,97492.221701,12.08749495783357,Level_cm1,8.678893888e-10,6,False,False,False,False,2.0,True,term,6,1.301958066690645e-06,1.0203775545392091e-05,1.301958066690645e-06,False,False,2,2S,high,3s,high
H_I,3,,,,,97492.304,12.087505161609116,Level_cm1,6.199209920000001e-07,7,True,False,False,True,3.0,True,config,7,1.0203775545392091e-05,1.9134481323845876e-06,1.9134481323845876e-06,False,False,2,nan,high,,low
H_I,3d,2D,3/2,,,97492.319433,12.087507075057248,Level_cm1,2.4796839680000005e-09,8,False,False,False,False,2.0,True,term,8,1.9134481323845876e-06,2.2069187366469123e-08,2.2069187366469123e-08,False,False,2,2D,high,3d,high
H_I,3p,2P*,3/2,,,97492.319611,12.087507097126435,Level_cm1,8.678893888e-10,9,False,False,False,False,2.0,True,term,9,2.2069187366469123e-08,4.457851854766659e-06,2.2069187366469123e-08,False,False,2,2P*,high,3p,high
