# Generated by: provenance.py
# Date: 2025-08-16 11:51:03
# Target: He_I_levels.csv
Ion,Configuration,Term,J,Parity,g,Level_cm1,Level_eV,energy_source,energy_sigma_eV,orig_row,is_centroid_like,is_limit,config_contains_species_label,incomplete,n,n_inferred,n_source,Level_ID,dE_prev_eV,dE_next_eV,dE_min_eV,is_duplicate_energy,dense_zone,energy_band_id,series_id_ls,series_confidence_ls,series_id_outer,series_confidence_outer
He_I,1s2,1S,0,,1.0,0.0,0.0,Level_cm1,1.4878103808e-07,0,False,False,False,False,1.0,True,term,0,,19.819614520100384,19.819614520100384,False,False,0,1S,high,1s,high
He_I,1s.2s,3S,1,,3.0,159855.971776,19.819614520100384,Level_cm1,5.331320531200001e-09,1,False,False,False,False,3.0,True,term,1,19.819614520100384,0.7961602970810873,0.7961602970810873,False,False,1,3S,high,2s,high
He_I,1s.2s,1S,0,,1.0,166277.437635,20.61577481718147,Level_cm1,7.811004499200002e-09,2,False,False,False,False,1.0,True,term,2,0.7961602970810873,0.348312066288365,0.348312066288365,False,False,2,1S,high,2s,high
He_I,1s.2p,3P*,2,,5.0,169086.76391031,20.964086883469836,Level_cm1,2.89503103264e-09,3,False,False,False,False,3.0,True,term,3,0.348312066288365,9.475554357152305e-06,9.475554357152305e-06,False,False,3,3P*,high,2p,high
He_I,1s.2p,3P*,1,,3.0,169086.84033581,20.964096359024193,Level_cm1,2.89503103264e-09,4,False,False,False,False,3.0,True,term,4,9.475554357152305e-06,0.00012248587415797374,9.475554357152305e-06,False,False,3,3P*,high,2p,high
He_I,1s.2p,3P*,0,,1.0,169087.82825101,20.96421884489835,Level_cm1,2.89503103264e-09,5,False,False,False,False,3.0,True,term,5,0.00012248587415797374,0.25380386063765314,0.00012248587415797374,False,False,4,3P*,high,2p,high
He_I,1s.2p,1P*,1,,3.0,171134.894441,21.218022705536004,Level_cm1,1.6117945792000001e-09,6,False,False,False,False,1.0,True,term,6,0.25380386063765314,1.5004437077974337,0.25380386063765314,False,False,5,1P*,high,2p,high
He_I,1s.3s,3S,1,,3.0,183236.789095,22.718466413333438,Level_cm1,8.3069412928e-09,7,False,False,False,False,3.0,True,term,7,1.5004437077974337,0.20185093928074593,0.20185093928074593,False,False,6,3S,high,3s,high
He_I,1s.3s,1S,0,,1.0,184864.826715,22.920317352614184,Level_cm1,4.091478547200001e-09,8,False,False,False,False,1.0,True,term,8,0.20185093928074593,0.08675578693240382,0.08675578693240382,False,False,7,1S,high,3s,high
He_I,1s.3p,3P*,2,,5.0,185564.55932651,23.007073139546588,Level_cm1,4.0914785472000005e-11,9,False,False,False,False,3.0,True,term,9,0.08675578693240382,2.7261881108131547e-06,2.7261881108131547e-06,False,False,8,3P*,high,3p,high
He_I,1s.3p,3P*,1,,3.0,185564.5813147,23.0070758657347,Level_cm1,3.7195259520000004e-10,10,False,False,False,False,3.0,True,term,10,2.7261881108131547e-06,3.3561605025766994e-05,2.7261881108131547e-06,False,False,8,3P*,high,3p,high
He_I,1s.3p,3P*,0,,1.0,185564.8520073,23.007109427339724,Level_cm1,4.0914785472000007e-10,11,False,False,False,False,3.0,True,term,11,3.3561605025766994e-05,0.06654127501940721,3.3561605025766994e-05,False,False,8,3P*,high,3p,high
