# Generated by: provenance.py
# Date: 2025-08-14 11:06:11
# Target: Zn_II_levels.csv
Ion,Configuration,Term,J,Parity,g,Level_cm1,Level_eV,energy_source,energy_sigma_eV,orig_row,is_centroid_like,is_limit,config_contains_species_label,incomplete,n,n_inferred,n_source,Level_ID,dE_prev_eV,dE_next_eV,dE_min_eV,is_duplicate_energy,dense_zone,energy_band_id,series_id_ls,series_confidence_ls,series_id_outer,series_confidence_outer
Zn_II,3d10.4s,2S,1/2,,,0.0,0.0,Level_cm1,0.0,0,False,False,False,False,2.0,True,term,0,,6.0108779226304,6.0108779226304,False,False,0,2S,high,4s,high
Zn_II,3d10.4p,2P*,1/2,,,48481.0,6.0108779226304,Level_cm1,,1,False,False,False,False,2.0,True,term,1,6.0108779226304,0.10836714876953657,0.10836714876953657,False,False,1,2P*,high,4p,high
Zn_II,3d10.4p,2P*,3/2,,,49355.04,6.119245071399937,Level_cm1,,2,False,False,False,False,2.0,True,term,2,0.10836714876953657,1.6573476135341432,0.10836714876953657,False,False,1,2P*,high,4p,high
Zn_II,3d9.4s2,2D,5/2,,,62722.45,7.77659268493408,Level_cm1,,3,False,False,False,False,2.0,True,term,3,1.6573476135341432,0.33713659244729755,0.33713659244729755,False,False,2,2D,high,4s,high
Zn_II,3d9.4s2,2D,3/2,,,65441.64,8.113729277381378,Level_cm1,,4,False,False,False,False,2.0,True,term,4,0.33713659244729755,2.8510798741491836,0.33713659244729755,False,False,2,2D,high,4s,high
Zn_II,3d10.5s,2S,1/2,,,88437.15,10.964809151530561,Level_cm1,,5,False,False,False,False,2.0,True,term,5,2.8510798741491836,1.0504672795218575,1.0504672795218575,False,False,3,2S,high,5s,high
Zn_II,3d10.4d,2D,3/2,,,96909.74,12.015276431052419,Level_cm1,,6,False,False,False,False,2.0,True,term,6,1.0504672795218575,0.006281039490941609,0.006281039490941609,False,False,4,2D,high,4d,high
Zn_II,3d10.4d,2D,5/2,,,96960.4,12.02155747054336,Level_cm1,,7,False,False,False,False,2.0,True,term,7,0.006281039490941609,0.5462123860512005,0.006281039490941609,False,False,4,2D,high,4d,high
Zn_II,3d10.5p,2P*,1/2,,,101365.9,12.56776985659456,Level_cm1,,8,False,False,False,False,2.0,True,term,8,0.5462123860512005,0.03043812070719909,0.03043812070719909,False,False,4,2P*,high,5p,high
Zn_II,3d10.5p,2P*,3/2,,,101611.4,12.59820797730176,Level_cm1,,9,False,False,False,False,2.0,True,term,9,0.03043812070719909,0.2591517714956826,0.03043812070719909,False,False,4,2P*,high,5p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4P*,5/2,,,103701.6,12.857359748797442,Level_cm1,,10,False,False,False,False,4.0,True,term,10,0.2591517714956826,0.2009907840262386,0.2009907840262386,False,False,4,4P*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4P*,3/2,,,105322.7,13.058350532823681,Level_cm1,,11,False,False,False,False,4.0,True,term,11,0.2009907840262386,0.14953734169024102,0.14953734169024102,False,False,4,4P*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4P*,1/2,,,106528.8,13.207887874513922,Level_cm1,,12,False,False,False,False,4.0,True,term,12,0.14953734169024102,0.03113243221823936,0.03113243221823936,False,False,4,4P*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4F*,9/2,,,106779.9,13.239020306732161,Level_cm1,,13,False,False,False,False,4.0,True,term,13,0.03113243221823936,0.008988854383998657,0.008988854383998657,False,False,4,4F*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4F*,7/2,,,106852.4,13.24800916111616,Level_cm1,,14,False,False,False,False,4.0,True,term,14,0.008988854383998657,0.05160222337408271,0.008988854383998657,False,False,4,4F*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4F*,5/2,,,107268.6,13.299611384490243,Level_cm1,,15,False,False,False,False,4.0,True,term,15,0.05160222337408271,0.11893804152511755,0.05160222337408271,False,False,4,4F*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4F*,3/2,,,108227.9,13.41854942601536,Level_cm1,,16,False,False,False,False,4.0,True,term,16,0.11893804152511755,0.3030669745689618,0.11893804152511755,False,False,4,4F*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),2F*,5/2,,,110672.3,13.721616400584322,Level_cm1,,17,False,False,False,False,2.0,True,term,17,0.3030669745689618,0.024164520268158185,0.024164520268158185,False,False,4,2F*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4D*,7/2,,,110867.2,13.74578092085248,Level_cm1,,18,False,False,False,False,4.0,True,term,18,0.024164520268158185,0.1085853609587204,0.024164520268158185,False,False,4,4D*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4D*,5/2,,,111743.0,13.8543662818112,Level_cm1,,19,False,False,False,False,4.0,True,term,19,0.1085853609587204,0.0311572290579214,0.0311572290579214,False,False,4,4D*,high,3p,high
Zn_II,3d9.(2D).4s.4p.(3P*),4D*,3/2,,,111994.3,13.885523510869122,Level_cm1,,20,False,False,False,False,4.0,True,term,20,0.0311572290579214,0.051503036015358106,0.0311572290579214,False,False,4,4D*,high,3p,high
