# created_utc: 2025-08-09T20:27:22.153019Z
# generator: nist_lines_parser_v1
# ion: Cu_I
# raw_lines: data/raw/lines/Cu_I_lines_raw.csv
# raw_lines_sha256: 4c7a2d952e6309573cb06548d82a32a15a00e9c0721fef4c370dcd6590bcc32d
# tidy_levels: data/tidy/levels/Cu_I_levels.csv
# tidy_levels_sha256: 7b6f206c2da9115978c18f90c7cad21d8a50792b813a159312bed9075b6eb3de
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
0,114.661,vacuum,2614.598320265827,10813.109811139244,,363,0,energy_only|energy_only,0.0015255610014719423,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(1D).11p?,3d10.4s,114.661,10.813108285578242,0.0
1,114.7249,vacuum,2613.142029324061,10807.087075735404,,362,0,energy_only|energy_only,0.004422199403052218,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d9.4s.(1D).11p?,3d10.4s,114.7249,10.807082653536002,0.0
2,115.143,vacuum,2603.6533527874035,10767.845062704957,,361,0,energy_only|energy_only,0.003407962556593702,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(1D).10p?,3d10.4s,115.143,10.767841654742401,0.0
3,115.233,vacuum,2601.6198311247645,10759.435092855665,,360,0,energy_only|energy_only,0.0004332352145866025,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d9.4s.(1D).10p?,3d10.4s,115.233,10.759435526090881,0.0
4,115.852,vacuum,2587.719314297552,10701.947174455658,,359,0,energy_only|energy_only,0.003121162857496529,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(1D).9p?,3d10.4s,115.852,10.7019440532928,0.0
5,115.993,vacuum,2584.5737070340456,10688.93798811167,,357,0,energy_only|energy_only,0.00012276897177798674,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d9.4s.(1D).9p?,3d10.4s,115.993,10.688938110880642,0.0
6,116.271,vacuum,2578.394079349107,10663.381101521763,,356,0,energy_only|energy_only,0.003866068636853015,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).21p,3d10.4s,116.271,10.663384967590401,0.0
7,116.3169,vacuum,2577.376615092046,10659.173207462003,,355,0,energy_only|energy_only,0.0037026172030891757,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).20p,3d10.4s,116.3169,10.659169504844801,0.0
8,116.3789,vacuum,2576.0035367235814,10653.494611609467,,354,0,energy_only|energy_only,0.0035830513879773207,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).19p,3d10.4s,116.3789,10.653491028558081,0.0
9,116.442,vacuum,2574.607598632796,10647.72147554179,,353,0,energy_only|energy_only,0.004287790688977111,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).18p,3d10.4s,116.442,10.647725763332481,0.0
10,116.524,vacuum,2572.79580172325,10640.228485591268,,352,0,energy_only|energy_only,0.003766261987038888,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).17p,3d10.4s,116.524,10.64022471932928,0.0
11,116.6179,vacuum,2570.7242027167354,10631.66104050096,,351,0,energy_only|energy_only,0.0036292811200837605,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).14f<5/2>,3d10.4s,116.6179,10.631657411219841,0.0
12,116.629,vacuum,2570.479537679308,10630.649187209328,,350,0,energy_only|energy_only,0.003952003473386867,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).16p,3d10.4s,116.629,10.630653139212802,0.0
13,116.739,vacuum,2568.0574443844816,10620.632214213218,,349,0,energy_only|energy_only,0.0030017688623047434,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).13f<5/2>,3d10.4s,116.739,10.62063521598208,0.0
