# created_utc: 2025-08-09T20:27:30.661197Z
# generator: nist_lines_parser_v1
# ion: Fe_II
# raw_lines: data/raw/lines/Fe_II_lines_raw.csv
# raw_lines_sha256: 6e0cd7aea59d4a63d3f5abc359820825a22673f38becb7b95ed0fa8cbcf4c3b9
# tidy_levels: data/tidy/levels/Fe_II_levels.csv
# tidy_levels_sha256: aa00d26045c0fbd3a6245fb9f2df6768f779485aa4c38622a55a94b76324419d
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
0,89.991588,vacuum,3331.3386802330906,13777.309764275267,,792,5,energy_only|energy_only,8.925420843297616e-06,True,1.0,True,2[6]*,a 4F,11/2,9/2,odd,even,3d6.(5D<4>).5f,3d7,89.991588,14.009482540476846,0.23217278512700035
1,92.387821,vacuum,3244.934827502859,13419.972141728907,,673,0,energy_only|energy_only,2.963093720609322e-06,True,1.0,True,4D*,a 6D,7/2,9/2,odd,even,3d5.(2F1).4s.4p.(3P*),3d6.(5D).4s,92.387821,13.419972144692002,0.0
2,92.621201,vacuum,3236.758482542242,13386.157496003932,,665,0,energy_only|energy_only,6.630584357480984e-05,True,0.0,True,6D*,a 6D,9/2,9/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,92.621201,13.386157562309775,0.0
3,92.689687,vacuum,3234.366925847964,13376.266812240254,,663,0,energy_only|energy_only,3.462635868345387e-05,True,1.0,True,6D*,a 6D,7/2,9/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,92.689687,13.376266846866613,0.0
4,92.717428,vacuum,3233.3992051634564,13372.264641066584,,673,1,energy_only|energy_only,2.8921162083861418e-05,True,0.0,True,4D*,a 6D,7/2,7/2,odd,even,3d5.(2F1).4s.4p.(3P*),3d6.(5D).4s,92.717428,13.419972144692002,0.047707532546580486
5,92.811081,vacuum,3230.136474759948,13358.771072336036,,668,1,energy_only|energy_only,3.245508014515508e-05,True,1.0,True,6D*,a 6D,5/2,7/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,92.811081,13.406478572427535,0.047707532546580486
6,92.846583,vacuum,3228.901358706976,13353.663042774951,,676,2,energy_only|energy_only,9.311383109888993e-06,True,1.0,True,4S*,a 6D,3/2,5/2,odd,even,3d6.(3P2).5p,3d6.(5D).4s,92.846583,13.436445181228219,0.08278212914188737
7,92.952478,vacuum,3225.2228714117764,13338.450041698048,,665,1,energy_only|energy_only,1.1934851499972865e-05,True,1.0,True,6D*,a 6D,9/2,7/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,92.952478,13.386157562309775,0.047707532546580486
8,92.96126,vacuum,3224.918186349884,13337.189965530124,,673,2,energy_only|energy_only,5.001999124942813e-05,True,1.0,True,4D*,a 6D,7/2,5/2,odd,even,3d5.(2F1).4s.4p.(3P*),3d6.(5D).4s,92.96126,13.419972144692002,0.08278212914188737
9,93.00231,vacuum,3223.4947497540657,13331.303104783494,,671,2,energy_only|energy_only,1.7042391846189275e-05,True,1.0,True,6D*,a 6D,3/2,5/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.00231,13.414085250967771,0.08278212914188737
10,93.014926,vacuum,3223.0575337983923,13329.49492487944,,676,3,energy_only|energy_only,2.379540092078969e-05,True,0.0,True,4S*,a 6D,3/2,3/2,odd,even,3d6.(3P2).5p,3d6.(5D).4s,93.014926,13.436445181228219,0.10695023255338114
11,93.021455,vacuum,3222.83131348569,13328.559352840019,,663,1,energy_only|energy_only,3.851998735626694e-05,True,0.0,True,6D*,a 6D,7/2,7/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.021455,13.376266846866613,0.047707532546580486
12,93.055406,vacuum,3221.655472654646,13323.696465899433,,668,2,energy_only|energy_only,2.2613783585256897e-05,True,0.0,True,6D*,a 6D,5/2,5/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.055406,13.406478572427535,0.08278212914188737
13,93.114041,vacuum,3219.626758546544,13315.306378498135,,676,4,energy_only|energy_only,6.648020462307613e-05,True,1.0,True,4S*,a 6D,3/2,1/2,odd,even,3d6.(3P2).5p,3d6.(5D).4s,93.114041,13.436445181228219,0.12113873624988034
14,93.20586,vacuum,3216.45503834201,13302.189197707494,,748,8,energy_only|energy_only,2.055305776593741e-05,True,0.0,True,4F*,a 4F,3/2,3/2,odd,even,3d6.(3F2).5p,3d7,93.20586,13.688708390660794,0.38651921350635976
15,93.205894,vacuum,3216.453865031325,13302.184345284395,,656,1,energy_only|energy_only,5.847840293426998e-05,True,1.0,True,4G*,a 6D,9/2,7/2,odd,even,3d5.(2F1).4s.4p.(3P*),3d6.(5D).4s,93.205894,13.349891936309378,0.047707532546580486
16,93.224508,vacuum,3215.811640432578,13299.528317757782,,668,3,energy_only|energy_only,2.2116373656899668e-05,True,1.0,True,6D*,a 6D,5/2,3/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.224508,13.406478572427535,0.10695023255338114
17,93.266891,vacuum,3214.3502885713215,13293.484652072693,,663,2,energy_only|energy_only,6.565203148056753e-05,True,1.0,True,6D*,a 6D,7/2,5/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.266891,13.376266846866613,0.08278212914188737
18,93.268048,vacuum,3214.310414216024,13293.31974498959,,641,0,energy_only|energy_only,6.263135401241016e-05,True,0.0,True,6F*,a 6D,9/2,9/2,odd,even,3d6.(5D).6p,3d6.(5D).4s,93.268048,13.293319682358236,0.0
19,93.270667,vacuum,3214.22015776943,13292.946474319057,,671,4,energy_only|energy_only,4.039883606310468e-05,True,1.0,True,6D*,a 6D,3/2,1/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.270667,13.414085250967771,0.12113873624988034
20,93.469389,vacuum,3207.3865166701794,13264.684805578827,,645,1,energy_only|energy_only,4.254310260876082e-05,True,1.0,True,4D*,a 6D,5/2,7/2,odd,even,3d5.(2D1).4s.4p.(3P*),3d6.(5D).4s,93.469389,13.312392295582304,0.047707532546580486
21,93.551743,vacuum,3204.5630405838615,13253.007846738214,,629,0,energy_only|energy_only,1.4695157005917281e-05,True,1.0,True,6F*,a 6D,11/2,9/2,odd,even,3d6.(5D).6p,3d6.(5D).4s,93.551743,13.253007832043055,0.0
22,93.765133,vacuum,3197.2701195869895,13222.84674896197,,616,0,energy_only|energy_only,6.705730811518151e-05,True,1.0,True,6F*,a 6D,11/2,9/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,93.765133,13.22284681601928,0.0
23,94.019214,vacuum,3188.629698606074,13187.112839031357,,602,0,energy_only|energy_only,4.769735824083909e-06,True,0.0,True,6D*,a 6D,9/2,9/2,odd,even,3d6.(5D).6p,3d6.(5D).4s,94.019214,13.18711283426162,0.0
24,94.126644,vacuum,3184.990405054705,13172.061930254698,,613,1,energy_only|energy_only,5.8570487453835085e-05,True,1.0,True,6F*,a 6D,9/2,7/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,94.126644,13.21976940423079,0.047707532546580486
25,94.508683,vacuum,3172.115497578143,13118.815591314893,,606,2,energy_only|energy_only,6.371971539920196e-05,True,1.0,True,6F*,a 6D,7/2,5/2,odd,even,3d5.(4F).4s.4p.(3P*),3d6.(5D).4s,94.508683,13.201597784176494,0.08278212914188737
26,94.579889,vacuum,3169.727319092117,13108.938878697954,,603,2,energy_only|energy_only,5.2876286645187065e-05,True,1.0,True,2P*,a 6D,3/2,5/2,odd,even,3d5.(4D).4s.4p.(3P*),3d6.(5D).4s,94.579889,13.191720954963554,0.08278212914188737
27,94.58082,vacuum,3169.696118092442,13108.809841731514,,610,3,energy_only|energy_only,5.292223431752063e-05,True,1.0,True,4P*,a 6D,5/2,3/2,odd,even,3d5.(2D3).4s.4p.(3P*),3d6.(5D).4s,94.58082,13.21576012720713,0.10695023255338114
28,95.034045,vacuum,3154.5795825064583,13046.292873833128,,655,6,energy_only|energy_only,3.987382478953805e-05,True,1.0,True,4D*,a 4F,5/2,7/2,odd,even,3d6.(5D).6p,3d7,95.034045,13.347591409508066,0.301298575548761
29,95.281081,vacuum,3146.4006794801167,13012.467648798369,,814,10,energy_only|energy_only,2.129747372237034e-06,True,0.0,True,2[3]*,a 4D,5/2,5/2,odd,even,3d6.(5D<3>).5f,3d6.(5D).4s,95.281081,14.052937514205667,1.0404698632775515
30,96.110981,vacuum,3119.2321093882083,12900.107471122754,,637,8,energy_only|energy_only,4.1253104427596554e-05,True,1.0,True,4P*,a 4F,5/2,3/2,odd,even,3d6.(5D).6p,3d7,96.110981,13.286626643376007,0.38651921350635976
31,96.302482,vacuum,3113.029402502835,12874.455136629156,,776,10,energy_only|energy_only,2.1320556697901338e-07,True,1.0,True,4F*,a 4D,7/2,5/2,odd,even,3d6.(3G).5p,3d6.(5D).4s,96.302482,13.914924999693499,1.0404698632775515
32,97.836622,vacuum,3064.2151361276556,12672.57555207739,,743,9,energy_only|energy_only,5.678134948539082e-05,True,1.0,True,4F*,a 4D,9/2,7/2,odd,even,3d6.(3F2).5p,3d6.(5D).4s,97.836622,13.658909408496347,0.9863337996376103
33,98.136598,vacuum,3054.8486916165566,12633.839050086459,,746,10,energy_only|energy_only,4.7505393013125286e-05,True,0.0,True,4D*,a 4D,5/2,5/2,odd,even,3d6.(3F1).5p,3d6.(5D).4s,98.136598,13.674308865858618,1.0404698632775515
34,98.475979,vacuum,3044.32066626116,12590.298635721478,,481,5,energy_only|energy_only,4.240859198034741e-05,True,1.0,True,2[6]*,a 4F,11/2,9/2,odd,even,3d6.(5D<3>).4f,3d7,98.475979,12.82247146325707,0.23217278512700035
35,98.966043,vacuum,3029.2456777321086,12527.95349264431,,511,7,energy_only|energy_only,8.312859790748917e-06,True,1.0,True,2[4]*,a 4F,7/2,5/2,odd,even,3d6.(5D<1>).4f,3d7,98.966043,12.879818246495619,0.3518647621641709
36,98.979457,vacuum,3028.8351450543923,12526.255665910925,,507,7,energy_only|energy_only,2.1192368876654655e-05,True,1.0,True,2[2]*,a 4F,3/2,5/2,odd,even,3d6.(5D<1>).4f,3d7,98.979457,12.878120406882728,0.3518647621641709
37,98.989489,vacuum,3028.528190503135,12524.986203889152,,448,5,energy_only|energy_only,4.577643267111853e-05,True,1.0,True,2[6]*,a 4F,11/2,9/2,odd,even,3d6.(5D<4>).4f,3d7,98.989489,12.75715894323972,0.23217278512700035
38,99.000271,vacuum,3028.198357153992,12523.622122762037,,446,5,energy_only|energy_only,3.8800113543402404e-05,True,0.0,True,2[4]*,a 4F,9/2,9/2,odd,even,3d6.(5D<4>).4f,3d7,99.000271,12.755794869088923,0.23217278512700035
