# created_utc: 2025-08-09T20:27:31.927666Z
# generator: nist_lines_parser_v1
# ion: H_I
# raw_lines: data/raw/lines/H_I_lines_raw.csv
# raw_lines_sha256: 1872bccd6e1e20df71138494ef8cebb5709bd8f970585912171b595fe83180b1
# tidy_levels: data/tidy/levels/H_I_levels.csv
# tidy_levels_sha256: 8d08ef7f0a11912605c0a3d113b01d425937c6d07b533f1d89c210e5c2c712a4
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
0,91.232366,vacuum,3286.031823399165,13589.935660059904,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,40,1s,91.232366,,0.0
1,91.2353295,vacuum,3285.925086728601,13589.494232659474,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,39,1s,91.2353295,,0.0
2,91.2385303,vacuum,3285.80981098947,13589.017490509019,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,38,1s,91.2385303,,0.0
3,91.2419943,vacuum,3285.685065303313,13588.501583804562,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,37,1s,91.2419943,,0.0
4,91.2457513,vacuum,3285.5497787983036,13587.94208377609,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,36,1s,91.2457513,,0.0
5,91.2498352,vacuum,3285.4027335273477,13587.33395339915,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,35,1s,91.2498352,,0.0
6,91.2542852,vacuum,3285.242521410929,13586.67136932477,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,34,1s,91.2542852,,0.0
7,91.2591463,vacuum,3285.0675264315946,13585.947648241772,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,33,1s,91.2591463,,0.0
8,91.2644709,vacuum,3284.875867285612,13585.15500970309,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,32,1s,91.2644709,,0.0
9,91.2703197,vacuum,3284.665365317001,13584.28444351156,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,31,1s,91.2703197,,0.0
10,91.2767639,vacuum,3284.433465766198,13583.325384030588,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,30,1s,91.2767639,,0.0
11,91.2838873,vacuum,3284.177162775144,13582.265400030097,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,29,1s,91.2838873,,0.0
12,91.2917887,vacuum,3283.8929137993764,13581.089840723394,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,28,1s,91.2917887,,0.0
13,91.3005859,vacuum,3283.576496741846,13579.781244920103,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,27,1s,91.3005859,,0.0
14,91.3104195,vacuum,3283.222874690659,13578.318781626416,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,26,1s,91.3104195,,0.0
15,91.3214592,vacuum,3282.8259713134325,13576.677321150786,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,25,1s,91.3214592,,0.0
16,91.3339105,vacuum,3282.378432707094,13574.82645019384,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,24,1s,91.3339105,,0.0
17,91.3480251,vacuum,3281.871257444404,13572.728941843723,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,23,1s,91.3480251,,0.0
18,91.3641133,vacuum,3281.2933565678245,13570.338935856964,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,22,1s,91.3641133,,0.0
19,91.3825609,vacuum,3280.630954609196,13567.599461474894,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,21,1s,91.3825609,,0.0
20,91.4038537,vacuum,3279.866721855733,13564.438848764174,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,20,1s,91.4038537,,0.0
21,91.4286086,vacuum,3278.978676265232,13560.766187302963,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,19,1s,91.4286086,,0.0
22,91.4576201,vacuum,3277.9385432532154,13556.464542805623,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,18,1s,91.4576201,,0.0
23,91.4919242,vacuum,3276.7095087502817,13551.381664514569,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,17,1s,91.4919242,,0.0
24,91.5328932,vacuum,3275.242893775371,13545.316232340361,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,16,1s,91.5328932,,0.0
25,91.5823751,vacuum,3273.4732820878767,13537.997706449927,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,15,1s,91.5823751,,0.0
26,91.6429076,vacuum,3271.3110687029316,13529.055510401951,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,14,1s,91.6429076,,0.0
27,91.7180514,vacuum,3268.6309120605674,13517.971273155907,,,0.0,no_tiebreak|energy_only,,,,,,2S,,1/2,,even,13,1s,91.7180514,,0.0
28,91.81293,vacuum,3265.2531402712016,13504.001931482167,,75.0,0.0,energy+term|energy_only,4.659779733628966e-06,,,,,2S,,1/2,,even,12,1s,91.81293,13.504001926822387,0.0
