# created_utc: 2025-08-16T15:51:51.782014Z
# generator: nist_lines_parser_v1
# ion: He_I
# raw_lines: data/raw/lines/He_I_lines_raw.csv
# raw_lines_sha256: 48581b133af32f8251cbe0db5a55f004ec74fc94b7fbb7fe98ab116d044896f2
# tidy_levels: data/tidy/levels/He_I_levels.csv
# tidy_levels_sha256: f12f8b4f2f45b5b458ade9518fea6bcbe35b77dcc1cb6feb6dcf3dc637aca435
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
0,32.02935,vacuum,9359.929502159737,38709.55807891939,,839.0,,energy_only|no_tiebreak,,False,,True,3P,3P*,"0,1,2",0,even,odd,2p2,1s.2p,32.02935,59.6737806662176,
1,32.02925,vacuum,9359.958725227722,38709.67893581763,,839.0,,energy_only|no_tiebreak,,False,,True,3P,3P*,"0,1,2",1,even,odd,2p2,1s.2p,32.02925,59.6737806662176,
2,32.02924,vacuum,9359.961647544556,38709.69102154896,,839.0,,energy_only|no_tiebreak,,False,,True,3P,3P*,"0,1,2",2,even,odd,2p2,1s.2p,32.02924,59.6737806662176,
3,50.5500354,vacuum,5930.608270157611,24527.025040521272,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.15p,1s2,50.5500354,,
4,50.5684333,vacuum,5928.450585397115,24518.10157335914,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.14p,1s2,50.5684333,,
5,50.5912527,vacuum,5925.776532511123,24507.042579221146,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.13p,1s2,50.5912527,,
6,50.6200349,vacuum,5922.407177162969,24493.108045151443,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.12p,1s2,50.6200349,,
7,50.6570577,vacuum,5918.078775427969,24475.207213920694,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.11p,1s2,50.6570577,,
8,50.7058027,vacuum,5912.389549845347,24451.678467463385,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.10p,1s2,50.7058027,,
9,50.7718102,vacuum,5904.702960541675,24419.889288387767,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.9p,1s2,50.7718102,,
10,50.8643383,vacuum,5893.961624582856,24375.466692251,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.8p,1s2,50.8643383,,
11,50.99983,vacuum,5878.303084539693,24310.70817402797,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.7p,1s2,50.99983,,
12,51.0132995,vacuum,5876.750983339158,24304.289199231993,,,,no_tiebreak|no_tiebreak,,False,2.0,True,3P*,1S,2,0,odd,even,1s.7p,1s2,51.0132995,,
13,51.209857,vacuum,5854.194398551045,24211.002660191705,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.6p,1s2,51.209857,,
14,51.2135649,vacuum,5853.770550544119,24209.24976568145,,,,no_tiebreak|no_tiebreak,,False,2.0,False,1D,1S,2,0,even,even,1s.6d,1s2,51.2135649,,
15,51.2314135,vacuum,5851.731145384072,24200.815463641986,,,,no_tiebreak|no_tiebreak,,False,2.0,True,3P*,1S,2,0,odd,even,1s.6p,1s2,51.2314135,,
16,51.5616849,vacuum,5814.248672855141,24045.80041283788,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.5p,1s2,51.5616849,,
17,51.5681122,vacuum,5813.524001757039,24042.803413987236,,,,no_tiebreak|no_tiebreak,,False,2.0,False,1D,1S,2,0,even,even,1s.5d,1s2,51.5681122,,
18,51.5993995,vacuum,5809.998971015157,24028.22505822063,,,,no_tiebreak|no_tiebreak,,False,2.0,True,3P*,1S,2,0,odd,even,1s.5p,1s2,51.5993995,,
19,52.2213093,vacuum,5740.807000409697,23742.070060565045,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.4p,1s2,52.2213093,,
20,52.2339267,vacuum,5739.420276055945,23736.335029451977,,,,no_tiebreak|no_tiebreak,,False,2.0,False,1D,1S,2,0,even,even,1s.4d,1s2,52.2339267,,
21,52.2965949,vacuum,5732.542598103266,23707.89123891959,,,,no_tiebreak|no_tiebreak,,False,2.0,True,3P*,1S,2,0,odd,even,1s.4p,1s2,52.2965949,,
22,53.7029926,vacuum,5582.416239500217,23087.01850732685,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.3p,1s2,53.7029926,,
23,53.733118,vacuum,5579.286465378764,23074.07480159698,,,,no_tiebreak|no_tiebreak,,False,2.0,False,1D,1S,2,0,even,even,1s.3d,1s2,53.733118,,
24,53.8896007,vacuum,5563.08553238176,23007.07312635621,,,,no_tiebreak|no_tiebreak,,False,2.0,True,3P*,1S,2,0,odd,even,1s.3p,1s2,53.8896007,,
25,58.4334366,vacuum,5130.495063163887,21218.02269721437,,,,no_tiebreak|no_tiebreak,,True,1.0,True,1P*,1S,1,0,odd,even,1s.2p,1s2,58.4334366,,
26,59.141208,vacuum,5069.095950830088,20964.096371772404,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,1S,1,0,odd,even,1s.2p,1s2,59.141208,,
27,59.1412348,vacuum,5069.093653756448,20964.086871839154,,,,no_tiebreak|no_tiebreak,,False,2.0,True,3P*,1S,2,0,odd,even,1s.2p,1s2,59.1412348,,
28,62.5563117,vacuum,4792.361471656264,19819.614525883833,,,,no_tiebreak|no_tiebreak,,False,1.0,False,3S,1S,1,0,even,even,1s.2s,1s2,62.5563117,,
29,,vacuum,,,,,,no_tiebreak|no_tiebreak,,False,,False,term_k,term_i,J_k,J_i,even,even,conf_k,conf_i,,,
30,257.79,vacuum,1162.9328445634042,4809.50379787826,,840.0,838.0,energy_only|energy_only,1.3965839262609734,False,,True,3D,3P*,"1,2,3","0,1,2",even,odd,2p.3p,2s.2p,257.79,63.119115563456006,58.31100834950401
31,267.7128036,vacuum,1119.8286147267409,4631.2390269818125,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,0,1,odd,even,1s.10p,1s.2s,267.7128036,,
32,267.7128518,vacuum,1119.8284131087053,4631.238193156616,,,,no_tiebreak|no_tiebreak,,True,0.0,True,3P*,3S,1,1,odd,even,1s.10p,1s.2s,267.7128518,,
33,267.7128557,vacuum,1119.8283967952161,4631.238125689445,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,2,1,odd,even,1s.10p,1s.2s,267.7128557,,
34,269.6117592,vacuum,1111.941329597615,4598.6198366641465,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,0,1,odd,even,1s.9p,1s.2s,269.6117592,,
35,269.6118264,vacuum,1111.9410524493226,4598.618690470906,,,,no_tiebreak|no_tiebreak,,True,0.0,True,3P*,3S,1,1,odd,even,1s.9p,1s.2s,269.6118264,,
36,269.6118319,vacuum,1111.9410297660604,4598.618596660471,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,2,1,odd,even,1s.9p,1s.2s,269.6118319,,
37,272.3191003,vacuum,1100.8866350899882,4552.901293699805,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,0,1,odd,even,1s.8p,1s.2s,272.3191003,,
38,272.3191983,vacuum,1100.8862389119336,4552.899655239022,,,,no_tiebreak|no_tiebreak,,True,0.0,True,3P*,3S,1,1,odd,even,1s.8p,1s.2s,272.3191983,,
39,272.3192063,vacuum,1100.8862065708804,4552.899521487174,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,2,1,odd,even,1s.8p,1s.2s,272.3192063,,
40,276.3801583,vacuum,1084.7104938502382,4486.002148928637,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,0,1,odd,even,1s.7p,1s.2s,276.3801583,,
41,276.3803097,vacuum,1084.7098996502789,4485.9996915150605,,,,no_tiebreak|no_tiebreak,,True,0.0,True,3P*,3S,1,1,odd,even,1s.7p,1s.2s,276.3803097,,
42,276.3803221,vacuum,1084.7098509839966,4485.999490247489,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,2,1,odd,even,1s.7p,1s.2s,276.3803221,,
43,281.82,vacuum,1063.772826626925,4399.410914963582,,842.0,839.0,energy_only|energy_only,1.2574530211759338,False,,True,3P*,3P,"0,1,2","0,1,2",odd,even,2p.3d,2p2,281.82,64.07193412816001,59.6737806662176
44,282.9078411,vacuum,1059.6823928044885,4382.494239941506,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,0,1,odd,even,1s.6p,1s.2s,282.9078411,,
45,282.9080951,vacuum,1059.6814414024873,4382.490305258984,,,,no_tiebreak|no_tiebreak,,True,0.0,True,3P*,3S,1,1,odd,even,1s.6p,1s.2s,282.9080951,,
46,282.9081157,vacuum,1059.6813642416125,4382.489986147247,,,,no_tiebreak|no_tiebreak,,True,1.0,True,3P*,3S,2,1,odd,even,1s.6p,1s.2s,282.9081157,,
