# created_utc: 2025-08-11T14:20:48.160357Z
# generator: nist_lines_parser_v1
# ion: Zn_II
# raw_lines: data/raw/lines/Zn_II_lines_raw.csv
# raw_lines_sha256: bd9c5432b16170ddef44cbe4868ed4fbca0d6f0fd451375c03327b739f5466b8
# tidy_levels: data/tidy/levels/Zn_II_levels.csv
# tidy_levels_sha256: e4c9248ccd833974c589b02c3c4fc9c76da56dda8e7838db374cc2dab774cb6b
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
0,119.3231,vacuum,2512.4427541691425,10390.628336466592,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,119.3231,,
1,127.7324,vacuum,2347.035348901297,9706.558273821183,,40.0,2.0,energy_only|energy_only,0.001519911036666599,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.6d,3d10.4p,127.7324,15.825801825310082,6.119245071399937
2,136.6728,vacuum,2193.5049109991164,9071.607401436402,,59.0,3.0,energy_only|energy_only,0.00023578567743243184,True,1.0,True,2F*,2D,7/2,5/2,odd,even,3d10.7f,3d9.4s2,136.6728,16.84820032215616,7.77659268493408
3,136.6678,vacuum,2193.585160513303,9071.939286759844,,60.0,3.0,energy_only|energy_only,0.0031077979183464777,True,0.0,True,2F*,2D,5/2,5/2,odd,even,3d10.7f,3d9.4s2,136.6678,16.848535079491842,7.77659268493408
4,141.0444,vacuum,2125.518333234074,8790.437508011923,,55.0,3.0,energy_only|energy_only,0.001235921359693748,True,1.0,True,2P*,2D,3/2,5/2,odd,even,3d10.8p,3d9.4s2,141.0444,16.567028957024643,7.77659268493408
5,143.9091,vacuum,2083.207093922483,8615.452282413253,,30.0,1.0,energy_only|energy_only,0.0013709494360227836,True,1.0,True,2D,2P*,3/2,1/2,even,odd,3d10.5d,3d10.4p,143.9091,14.62633157599309,6.0108779226304
6,144.5042,vacuum,2074.6279900515,8579.9719596734,,57.0,4.0,energy_only|energy_only,0.002375475141889183,True,0.0,True,2D*,2D,3/2,3/2,odd,even,3d9.(2D).4s.4p.(1P*),3d9.4s2,144.5042,16.69370361252992,8.113729277381378
7,145.6907,vacuum,2057.73229176605,8510.0969660729,,31.0,2.0,energy_only|energy_only,0.0011146993874717737,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.5d,3d10.4p,145.6907,14.629343152172225,6.119245071399937
8,147.7015,vacuum,2029.7184388784135,8394.240979645005,,54.0,4.0,energy_only|energy_only,6.693240538879763e-05,True,1.0,True,2F*,2D,5/2,3/2,odd,even,3d9.(2D).4s.4p.(1P*),3d9.4s2,147.7015,16.507970323958787,8.113729277381378
9,151.4761,vacuum,1979.1403264277335,8185.066713858074,,26.0,1.0,energy_only|energy_only,0.0005915986957916175,True,0.0,True,2S,2P*,1/2,1/2,even,odd,3d10.6s,3d10.4p,151.4761,14.19594522808717,6.0108779226304
10,157.2991,vacuum,1905.8752275124268,7882.066611029794,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,157.2991,,
11,161.766,vacuum,1853.2476416552306,7664.416404281721,,,19.0,no_tiebreak|energy_only,,True,0.0,True,20,4D*,5/2?,5/2,even,odd,3d9.4s.4d,3d9.(2D).4s.4p.(3P*),161.766,,13.8543662818112
12,165.825,vacuum,1807.8845650535204,7476.809793788856,,82.0,18.0,energy_only|energy_only,0.01709979589213617,True,1.0,True,6,4D*,5/2,7/2,even,odd,3d9.4s.4d,3d9.(2D).4s.4p.(3P*),165.825,21.222573614845444,13.74578092085248
13,171.325,vacuum,1749.846537282942,7236.783797198523,,72.0,10.0,energy_only|energy_only,0.012683951553299266,True,0.0,True,4D,4P*,5/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),171.325,20.094156229947522,12.857359748797442
14,171.576,vacuum,1747.2866717955892,7226.197044196374,,78.0,18.0,energy_only|energy_only,0.011186410347363562,True,0.0,True,1,4D*,7/2,7/2,even,odd,3d9.4s.4d,3d9.(2D).4s.4p.(3P*),171.576,20.9719891514592,13.74578092085248
15,173.56,vacuum,1727.3130790504724,7143.592901907334,,71.0,10.0,energy_only|energy_only,0.02013953421555925,True,1.0,True,4D,4P*,7/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),173.56,20.00093251117056,12.857359748797442
16,173.558,vacuum,1727.3329837864,7143.675221280707,,81.0,23.0,energy_only|energy_only,0.0032715488641770207,True,0.0,True,5,2P*,1/2,1/2,even,odd,3d9.4s.4d,3d9.(2D).4s.4p.(3P*),173.558,21.214998180323203,14.07132623059136
17,173.689,vacuum,1726.0301918947084,7138.287306939627,,73.0,11.0,energy_only|energy_only,0.016127001495988225,True,0.0,True,4D,4P*,3/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),173.689,20.196653966764803,13.058350532823681
18,173.788,vacuum,1725.0469422514786,7134.220913153019,,74.0,12.0,energy_only|energy_only,0.008957759099757823,True,0.0,True,4D,4P*,1/2,1/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),173.788,20.34209982990784,13.207887874513922
19,174.7125,vacuum,1715.9187694068828,7096.469823596119,,33.0,3.0,energy_only|energy_only,0.00010196285893471213,True,1.0,True,2P*,2D,3/2,5/2,odd,even,3d10.6p,3d9.4s2,174.7125,14.873062610493058,7.77659268493408
20,176.219,vacuum,1701.2493431468797,7035.80195129377,,72.0,11.0,energy_only|energy_only,0.0037458300694197533,True,1.0,True,4D,4P*,5/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),176.219,20.094156229947522,13.058350532823681
21,177.405,vacuum,1689.8760350610185,6988.765728446418,,73.0,12.0,energy_only|energy_only,0.000363804462722328,True,1.0,True,4D,4P*,3/2,1/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),177.405,20.196653966764803,13.207887874513922
22,179.076,vacuum,1674.1074069110323,6923.551922396284,,74.0,16.0,energy_only|energy_only,0.001518503802799387,True,1.0,True,4D,4F*,1/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),179.076,20.34209982990784,13.41854942601536
23,179.764,vacuum,1667.7001958122873,6897.053826433751,,73.0,15.0,energy_only|energy_only,0.011244159192756342,True,1.0,True,4D,4F*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),179.764,20.196653966764803,13.299611384490243
24,181.101,vacuum,1655.3881977460092,6846.135493757832,,72.0,14.0,energy_only|energy_only,0.011575073526728374,True,1.0,True,4D,4F*,5/2,7/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),181.101,20.094156229947522,13.24800916111616
25,181.6479,vacuum,1650.4042050582473,6825.523356201954,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,181.6479,,
26,183.134,vacuum,1637.0114670132255,6770.135442108167,,76.0,17.0,energy_only|energy_only,0.0030853158450554474,True,1.0,True,2D,2F*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),183.134,20.491748757376644,13.721616400584322
